date,site_name,mean_do_mg_l,mean_salinity_ppt,mean_temp_c
2021-11-24,venoco_bridge,4.746666666666667,35.1,18.333333333333332
2021-12-03,east_channel,7.21,27.5,16.5
2021-12-03,phelps_bridge,7.8,1.9,14.5
2021-12-03,venoco_bridge,5.54,26.533333333333335,15.8
2021-12-10,east_channel,8.48,29.5,14
2021-12-10,phelps_bridge,10.8,1.9,12.5
2021-12-10,venoco_bridge,5.79,28.866666666666667,13.533333333333333
2021-12-17,east_channel,5.115,6.575,14.4
2021-12-17,phelps_bridge,3.6666666666666665,2.2666666666666666,11.933333333333334
2021-12-17,venoco_bridge,3.068,11.4,13.879999999999999
2022-01-03,venoco_bridge,9.629166666666666,32.45,12.25
2022-01-07,east_channel,12.29,27.7,15.9
2022-01-07,phelps_bridge,11.27,6.6,14.7
2022-01-07,venoco_bridge,10.456666666666667,28.76666666666667,14.9
2022-01-14,east_channel,11.74,31.766666666666666,15.966666666666667
2022-01-14,phelps_bridge,10.165,2.95,14.3
2022-01-14,venoco_bridge,11.01,32.5,14.225
2022-01-21,east_channel,9.346666666666666,29.333333333333332,19.466666666666665
2022-01-21,phelps_bridge,9.035,19.35,17.25
2022-01-21,venoco_bridge,9.62,29.525,17.375
2022-01-28,east_channel,8.33,29.7,16.3
2022-01-28,phelps_bridge,6.665,25.3,17.35
2022-01-28,venoco_bridge,9.09,29.675,14.55
2022-02-03,east_channel,8.966666666666667,29.866666666666667,15.566666666666666
2022-02-03,phelps_bridge,5.885,28.5,16.9
2022-02-03,venoco_bridge,8.7725,30.85,14.55
2022-02-11,east_channel,8.68,31.733333333333334,19.03333333333333
2022-02-11,phelps_bridge,3.905,29.85,18.950000000000003
2022-02-11,venoco_bridge,7.8925,30.85,17.475
2022-02-18,east_channel,6.91,36.733333333333334,15.8
2022-02-18,phelps_bridge,1.67,32.4,18.8
2022-02-18,venoco_bridge,7.3475,36.475,15.1
2022-03-04,east_channel,8.053333333333333,41.03333333333333,20.3
2022-03-04,phelps_bridge,3.31,28.9,22.7
2022-03-04,venoco_bridge,10.82,39.65,19.025
2022-03-18,east_channel,9.125,46.75,20.65
2022-03-18,phelps_bridge,2.33,7.5,25.1
2022-03-18,venoco_bridge,8.62,46.875,18.45
2022-03-24,east_channel,8.92,51,21.950000000000003
2022-03-24,phelps_bridge,2.75,6.4,23.2
2022-03-24,venoco_bridge,9.9425,47.5,21.325
2022-04-04,east_channel,11.906666666666666,20.833333333333332,23.766666666666666
2022-04-04,phelps_bridge,1.45,22.55,27.25
2022-04-04,venoco_bridge,12.0025,30.8,23.8
2022-04-11,east_channel,10.620000000000001,28.2,22.6
2022-04-11,phelps_bridge,0.87,26,28
2022-04-11,venoco_bridge,11.0225,31.975,25.425
2022-04-15,east_channel,12.82,28.35,22.95
2022-04-15,phelps_bridge,4.74,28,24.1
2022-04-15,venoco_bridge,10.58,34.8,23.5
2022-04-22,east_channel,10.415,28.9,18.7
2022-04-22,phelps_bridge,0.83,2.4,24.1
2022-04-22,venoco_bridge,9.6525,33.55,22.1
2022-04-29,east_channel,9.780000000000001,36,21.5
2022-04-29,phelps_bridge,0.92,11.8,28.5
2022-04-29,venoco_bridge,5.047499999999999,37.225,22.7
2022-05-06,east_channel,10.025,47.15,19.75
2022-05-06,phelps_bridge,6.84,6.6,20.3
2022-05-06,venoco_bridge,8.2175,45.275,19.8
2022-05-23,east_channel,7.295,55.7,19.700000000000003
2022-05-23,phelps_bridge,5.11,5.8,19.3
2022-05-23,venoco_bridge,7.734999999999999,47.25,21.9
2022-05-30,east_channel,7.85,68,25.6
2022-05-30,phelps_bridge,8.8,5.6,24
2022-05-30,venoco_bridge,7.326666666666667,56.666666666666664,24.333333333333332
2022-06-06,east_channel,0,0,26.2
2022-06-06,phelps_bridge,7.28,5.5,24.8
2022-06-06,venoco_bridge,6.27,60.13333333333333,25.866666666666667
2022-06-13,east_channel,0,0,26.7
2022-06-13,phelps_bridge,8.71,5.2,24.5
2022-06-13,venoco_bridge,6.75,64.13333333333333,26.03333333333333
2022-06-24,east_channel,0,0,26.8
2022-06-24,phelps_bridge,11.2,5.2,24.1
2022-06-24,venoco_bridge,2.7966666666666664,44.36666666666667,27.566666666666666
2022-07-01,east_channel,0,0,24.2
2022-07-01,phelps_bridge,8.25,5.2,22.3
2022-07-01,venoco_bridge,0,0,27.666666666666668
2022-07-08,east_channel,0,0,22.1
2022-07-08,phelps_bridge,8.48,4.9,21.5
2022-07-08,venoco_bridge,0,0,26.266666666666666
2022-07-18,east_channel,0,0,22.6
2022-07-18,phelps_bridge,5.67,5.1,21.4
2022-07-18,venoco_bridge,0,0,24.966666666666665
2022-07-29,east_channel,0,0,27.6
2022-07-29,phelps_bridge,10.43,4.8,24.4
2022-07-29,venoco_bridge,0,0,26.333333333333332
2022-08-05,east_channel,0,0,29.4
2022-08-05,phelps_bridge,9.92,4.7,25.9
2022-08-05,venoco_bridge,0,0,27.966666666666665
2022-08-12,east_channel,0,0,32.9
2022-08-12,phelps_bridge,14.11,4.7,26.4
2022-08-12,venoco_bridge,0,0,29.049999999999997
2022-08-19,east_channel,0,0,26.6
2022-08-19,phelps_bridge,4.39,4.6,20.9
2022-08-19,venoco_bridge,0,0,26.2
2022-08-26,phelps_bridge,4.11,4.2,20.1
2022-08-26,venoco_bridge,0,0,24.95
